ano,orgao,grupo_despesa,total_empenhado,total_liquidado,total_pago
2014,SECRETARIA DA EDUCACAO,INVESTIMENTOS,83485376577,83485376577,79449370671
2015,SECRETARIA DA EDUCACAO,INVESTIMENTOS,61224858406,61224858406,51787868839
2016,SECRETARIA DA EDUCACAO,INVESTIMENTOS,40450185287,40450185287,37524862680 
2017,SECRETARIA DA EDUCACAO,INVESTIMENTOS,36759858994,36759858994,23792805138 
2018,SECRETARIA DA EDUCACAO,INVESTIMENTOS,39202411342,39202411342,13701038384 
2019,SECRETARIA DA EDUCACAO,INVESTIMENTOS,87797354064,87797354064,30190069246 
2020,SECRETARIA DA EDUCACAO,INVESTIMENTOS,148334047197,148334047197,22945986240 
2021,SECRETARIA DA EDUCACAO,INVESTIMENTOS,208590169405,208590169405,31772568316 
2022,SECRETARIA DA EDUCACAO,INVESTIMENTOS,185371695740,185371695740,35182478697 
2023,SECRETARIA DA EDUCACAO,INVESTIMENTOS,71952622074,29859860157,27384429648 
