ano,orgao,grupo_despesa,total_empenhado,total_liquidado,total_pago
2014,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,10429644900.11,10429644900.11,9917775795.51 
2015,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,10716994857.11,10716994857.11,9866244759.98 
2016,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,10190852444.68,10190852444.68,9705004343.12 
2017,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,11067940336.96,11067940336.96,10504190953.94 
2018,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,12009368181.74,12009368181.74,11289570174.19 
2019,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,13432993065.74,13432993065.74,12264953647.15 
2020,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,12400732785.99,12400732785.99,11253671185.38 
2021,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,16626423841.58,16626423841.58,14997894975.36 
2022,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,18761980911.24,18761980911.24,17069440874.40 
2023,SECRETARIA DA EDUCACAO,OUTRAS DESPESAS CORRENTES,9133640469.92,7339671174.44,6949345074.48 
