ano,orgao,grupo_despesa,total_empenhado,total_liquidado,total_pago
2014,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,28000672813.73,28000672813.73,25774790972.24 
2015,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,29638500336.16,29638500336.16,27151570505.38 
2016,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,28668135220.17,28668135220.17,26933433410.47 
2017,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,30282789881.61,30282789881.61,27986230813.03 
2018,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,31460376071.44,31460376071.44,28676959219.26 
2019,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,34290764395.66,34290764395.66,30174196558.40 
2020,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,33952208167.13,33952208167.13,30566689944.66 
2021,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,41015824025.59,41015824025.59,34643962251.99 
2022,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,49341552624.84,49341552624.84,44475575715.44 
2023,SECRETARIA DA EDUCACAO,GASTOS TOTAIS,32538852575.83,30323917468.34,28205040111.72 
